phrase,target
"Operating result for the 12-month period decreased from the profit of EUR0 .4 m while turnover decreased from EUR5 .6 m , as compared to 2004 ",input
"Finnish electronics manufacturing services EMS company Elcoteq SE posted a net loss of 66.4 mln euro $ 91.2 mln for the first half of 2007 , compared to a net profit of 7.1 mln euro $ 9.8 mln for the same period of 2006 ",input
The company reported today an operating loss of EUR0 .1 m on net sales of EUR4 .5 m for the first quarter 2008 ,input
"Agricultural newspaper Maaseudun Tulevaisuus had 318,000 readers , representing a decrease of 6 % ",input
Operating profit for continuing operations fell to EUR 48.3 mn from EUR 72.4 mn in the first half of 2007 ,input
Sales by Seppala diminished by 6 per cent ,input
"In the building and home improvement trade , net sales totalled EUR 1,173 mn , down from EUR 1,566 mn a year earlier ",input
"In Finland , the city of Forssa has said it will not pay compensation to food industry companies HK Ruokatalo and Atria for the lye leak into tap water that occurred in March 2008 ",input
"Operating loss totalled EUR 5.2 mn , compared to a loss of EUR 3.4 mn in the corresponding period in 2008-2009 ",input
Finnish metal products company Componenta Oyj net profit went slightly down to 25.1 mln euro ( $ 40.2 mln ) for the first half of 2008 from 25.4 mln euro ( $ 40.7 mln ) for the same period of 2007 ,input
"20 October 2010 - Finnish environmental management company Lassila & Tikanoja Oyj HEL : LAT1V , or L&T , said Monday it expects its operating profit , excluding non-recurring items , for the whole 2010 to be slightly lower than in 2009 ",input
"However , the company saw its net profit for the third quarter down to EUR1 .4 m from EUR1 .5 m for the corresponding period of 2009 ",input
"According to CEO Matti Perkonoja of the parent company HKScan , the company 's performance in the first quarter of 2010 has remained clearly below the level of the corresponding period in 2009 ",input
Profit before taxes decreased to EUR 31.6 mn from EUR 50.0 mn the year before ,input
Net sales fell by 5 % from the previous accounting period ,input
23 April 2010 - Finnish construction and engineering company Outotec Oyj HEL : OTE1V said today it slipped to a net loss of EUR7 .3 m in the first quarter of 2010 from a net profit of EUR12 .5 m in the corresponding period last year ,input
Finnish communication electronics components supplier Scanfil Oyj Tuesday said sales in the first half of 2006 will be 15 % lower than during the same period a year ago ,input
"JP Morgan expects that Scala will lower Nobel Biocare 's growth forecast for 2007 from the current guidance of 23-25 pct , as well as the operating margin target from the current 34-35 pct ",input
"The OMX Helsinki index was down 0.34 pct at 8,256.02 on turnover of 813.191 mln eur ",input
"The airline estimated that the cancellation of its flights due to the closure of European airspace , and the process of recommencing traffic , have caused a the company a loss of EUR20m , including the costs of stranded passengers ' accommodation ",input
"Finnish electronics contract manufacturer Scanfil reports net sales of EUR 241.2 mn in 2006 , down from EUR 321.6 mn in 2005 ",input
"Food sales totalled EUR 323.5 mn in October 2009 , representing a decrease of 5.5 % from October 2008 ",input
"In the fourth quarter of 2008 , net sales decreased to EUR 121.4 mn from EUR 165.5 mn in the fourth quarter of 2007 ",input
Pretax profit decreased to EUR 33.8 mn from EUR 40.8 mn in the fourth quarter of 2005 ,input
"2009 3 February 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR46m in the fourth quarter of 2009 from a year-earlier profit of EUR45m ",input
"Cash flow after investments amounted to EUR45m , down from EUR46m ",input
Vaisala 's net profit for the third quarter of 2007 dropped to 3.0 mln euro ( $ 4.3 mln ) from 6.8 mln euro ( $ 9.8 mln ) for the same period of 2006 ,input
The sales of the Tiimari segment fell by 4.0 % year-on-year to EUR3 .3 m in June 2010 ,input
"Samsung currently occupies third place and lost ground during the quarter , dropping by 1.8 % to an 11.1 % share overall ",input
Prices and delivery volumes of broadband products decreased significantly in 2005 ,input
"Operating profit , excluding non-recurring items , totalled EUR 2.2 mn , down from EUR 2.7 mn in the corresponding period in 2008 ",input
Finnish meat company Atria can no longer promise a sufficient amount of domestic beef to its customers ,input
Finnair 's total traffic decreased by 8.7 % in terms of revenue passenger kilometres ,input
Finnair said that the cancellation of flights would cause daily losses of  x20ac 2.5 million US$ 3 million ,input
Repeats sees 2008 operating profit down y-y ( Reporting by Helsinki Newsroom ) Keywords : TECNOMEN-RESULT,input
Finnish technology company Raute Corporation ( OMX Helsinki : RUTAV ) issued on Tuesday ( 23 September ) a profit warning for the financial year 2008 ,input
Cash Flow from Operations for the most recent quarter also reached a eight year low ,input
EPS dropped to EUR0 .2 from EUR0 .3 ,input
"Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 ",input
"Finnish Suominen Corporation that makes wipes , nonwovens , and flexible packaging , expects changes in the market situation to reduce sales of Suominen 's nonwovens and wet wipes from the previously estimated volumes ",input
"Pretax loss totalled EUR 49.9 mn , compared to a loss of EUR 15.4 mn in the corresponding period in 2008 ",input
"The announcement pushed Freenet shares down 6.3 % , or EUR0 .71 , in Frankfurt trade to EUR10 .65 as investors gave up hope United Internet AG and Drillisch would pursue their own takeover and breakup of Freenet ",input
L&T 's net profit for the whole 2010 dropped to EUR 36 million from EUR 45 million for 2009 ,input
"Publishing Sweden 's operating loss was EUR 1.1 mn in Q1 of 2009 , compared to a profit of EUR 0.6 mn a year ago ",input
The fair value of the company 's investment properties went down to EUR2 .769 bn at the end of September 2009 from EUR2 .878 bn a year earlier ,input
Finnish investment group Norvestia Oyj said its net profit fell to 23.5 mln euro $ 30.6 mln in 2006 from 33.5 mln euro $ 43.6 mln in 2005 ,input
"However , the net sales declined to EUR 803.6 million from EUR 1.2 billion ",input
Loss for the period totalled EUR 15.6 mn compared to a profit of EUR 6.3 mn in 2008 ,input
Operating loss totaled EUR 25mn compared to a profit of EUR 63mn in the corresponding period in 2005 ,input
"ADP News - Apr 22 , 2009 - Finnish business information systems developer Solteq Oyj HEL : STQ1V said today its net loss widened to EUR 189,000 USD 245,000 for the first quarter of 2009 from EUR 10,000 for the same per",input
"Coca-Cola was the market leader of manufacturers with a market share of 36.9 % , down 2.2 % from the corresponding period in 2004-2005 ",input
"Finnish electronics contract manufacturer Scanfil had net sales of EUR 52.2 mn in the first quarter of 2007 , down from EUR 60.1 mn a year before ",input
"Net sales of Finnish Sanoma Learning & Literature , of Finnish media group Sanoma , decreased by 3.6 % in January-June 2009 totalling EUR 162.8 mn , down from EUR 168.8 mn in the corresponding period in 2008 ",input
Net sales have been eaten by the weak US dollar ,input
"Furthermore , sales of new passenger cars and light commercial vehicles in the country declined by 5.4 % year-on-year last month ",input
"In 2009 , Comptel slipped to a net loss of EUR2 .1 m from a profit of EUR6 .6 m in the previous year ",input
"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 ",input
"The company 's profit before taxes fell to EUR 21.1 mn in the third quarter of 2008 , compared to EUR 35.8 mn in the corresponding period in 2007 ",input
The operating margin of Aker Yards Cruise & Ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007 ,input
Finnish business software group AffectoGenimap Oyj said its net profit halved to 1.2 mln euro ( $ 1.5 mln ) in the first nine months of 2006 from 2.2 mln euro ( $ 2.8 mln ) in the same period of 2005 ,input
Ruukki Group calculates that it has lost EUR 4mn in the failed project ,input
The operating margin came down to 2.4 % from 5.7 % ,input
"In July-September 2009 , Konecranes ' sales decreased to EUR 368.7 mn from EUR 520.4 mn in July-September 2008 ",input
Finnish media company Talentum Oyj 's net profit decreased to 2.5 mln euro ( $ 4.0 mln ) for the first quarter of 2008 from 3.0 mln euro ( $ 4.7 mln ) for the same period of 2007 ,input
"Sales in Finland decreased by 2.0 % , and international sales decreased by 9.3 % in terms of euros , and by 15.1 % in terms of local currencies ",input
"Operating profit fell to EUR 35.4 mn from EUR 68.8 mn in 2007 , including vessel sales gain of EUR 12.3 mn ",input
Scanfil issued a profit warning on 10 April 2006 ,input
"Profit before taxes amounted to EUR 56.5 mn , down from EUR 232.9 mn a year ago ",input
"The result will also be burdened by increased fixed costs associated with operations in China , and restructuring costs in Japan ",input
"Operating profit totaled EUR 3.8 mn , down from EUR 4.5 mn in the corresponding period in 2005 ",input
"Operating profit margin was 8.3 % , compared to 11.8 % a year earlier ",input
"Operating loss totalled EUR 4.0 mn , compared to a profit of EUR 8.6 mn in the second quarter of 2008 ",input
"Finnish shipping company Finnlines ' pretax loss totalled EUR 6.5 mn in the third quarter of 2009 , compared to a profit of EUR 0.3 mn in the third quarter of 2008 ",input
"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue ",input
"Commission income decreased to EUR 3.8 mn , compared to EUR 4.6 mn in the third quarter of 2007 ",input
Subscription sales decreased slightly ,input
"Cerberus Capital Management LP-backed printing paper maker NewPage Corp. has posted mixed second-quarter results , casting a cloud over its planned initial public offering ",input
Operating profit for 2009 lower than outlook published earlier ,input
"Finnish plumbing and heating systems supplier Uponor 's net sales from continuing operations decreased by 9.4 % in 2008 to EUR 949.2 mn from EUR 1,047.4 mn in 2007 ",input
"Operating profit totalled EUR 9.6 mn , down from EUR 42.0 mn the year before ",input
"Revenue for the quarter totaled 27.4 billion , down 2 percent from 28.1 billion in the fourth quarter in 2008 ",input
The fair value of the company 's investment properties went down to EUR 2.768 billion at the end of 2009 from EUR 2.916 billion a year earlier ,input
"Nokia shares hit 13.21 euros on Friday , down 50 percent from the start of the year in part because of the slow introduction of touch-screen models ",input
Operating profit decreased to EUR 11.2 mn from EUR 16.6 mn ,input
"Result before taxes decreased to nearly EUR 14.5 mn , compared to nearly EUR 20mn in the previous accounting period ",input
"Finnish power supply solutions and systems provider Efore Oyj said its net loss widened to 3.2 mln euro $ 4.2 mln for the first quarter of fiscal 2006-2007 ending October 31 , 2007 from 900,000 euro $ 1.2 mln for the same period of fiscal 2005-06 ",input
"Comparable operating profit totaled EUR 4.7 mn , down from EUR 5.1 mn in the corresponding period in 2005 , representing 7.4 % of net sales ",input
"Operating loss totalled EUR 12.7 mn , compared to a profit of EUR 17.7 mn in the first half of 2008 ",input
"( ADP News ) - Feb 12 , 2009 - Finnish construction company Lemminkainen Oyj ( HEL : LEM1S ) said today its net profit decreased to EUR 63.5 million ( USD 81.1 m ) for 2008 from EUR 80.6 million for 2007 ",input
"In Finland , the Bank of +Ã¯Â¿Â½land reports its operating profit fell to EUR 6.1 mn in the second quarter of 2008 from EUR 7.5 mn in the second quarter of 2007 ",input
Talentum 's net sales in September were smaller than expected ,input
"Lassila & Tikanoja 's operating profit excluding non-recurring and imputed items for the second quarter was EUR11 .3 m , down from EUR13 .8 m a year ago ",input
"Operating profit totalled EUR 9.0 mn , down from EUR 9.7 mn in the first half of 2008 ",input
Consolidated operating profit from continuing operations decreased by 62.3 % to EUR 51.2 mn from EUR 135.7 mn in 2007 ,input
Earnings per share EPS in 2005 decreased to EUR0 .66 from EUR1 .15 in 2004 ,input
"Based on the first quarter result , existing order backlog and new order prospects , the company expects that full-year sales will contract by 25 % from 2008 , the gross margin will stay at a healthy level , and the operating profit margin will be lower than in 2008 due to lower sales volume ",input
Pretax loss totaled EUR 117mn compared to a loss of EUR 65mn in the corresponding period ,input
"ADPnews - Feb 5 , 2010 - Finnish real estate investor Sponda Oyj HEL : SDA1V said today that it slipped to a net loss of EUR 81.5 million USD 11.8 m in 2009 from a profit of EUR 29.3 million in 2008 ",input
"The currency effect had a 3.0 pct , or 20 mln euro ( $ 31.3 mln ) , negative impact on the revenue ",input
"Operating profits in the half were  0.8 m , down from  0.9 m as Glisten invested in the brand and the management team ",input
"Operating profit , excluding non-recurring items , totaled EUR 0.2 mn , down from EUR 0.8 mn in the corresponding period in 2006 ",input
The Elcoteq group recently announced that the last three months of the previous year brought to it a major loss of more than half a billion kroons ( EUR 32 mln ) for the fifth quarter running ,input
"Finnish management software solutions provider Ixonos Oyj net profit decreased to 369,000 euro ( $ 575,000 ) for the first quarter of 2008 from 669,000 euro ( $ 1.0 mln ) for the same period of 2007 ",input
Sales of mid-strength beer decreased by 40 % ,input
"Net cash from operating activities was a negative EUR 0.3 mn , compared to EUR 30.9 mn in 2009 ",input
"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 ",input
"According to Finnish petrol station chain St1 's managing director Kim Wiio , the company was forced to make purchases with rising prices in the first half of 2008 , and now consumer prices are going down almost daily due to competition ",input
UPM stock fell 3 percent to EURO 12.49 $ 17.24 in early afternoon trading in Helsinki ,input
Net sales dropped by 6 % year-on-year to EUR 11.9 million ,input
"However , the orders received during the period under review fell by 17 % quarter-on-quarter from the EUR 213 million recorded in the second quarter of 2010 ",input
"Operating loss of the Pulp & Paper Machinery unit was over EUR 3mn in September 2007 - August 2008 , compared to a profit of EUR 3.7 mn a year earlier ",input
"In the Baltic countries , sales fell by 40.2 % , and in Russia , by 23.2 % in terms of euros , and by 10.7 % in terms of local currency ",input
"Raute reported a loss per share of EUR0 .86 for the first half of 2009 , against EPS of EUR0 .74 in the corresponding period of 2008 ",input
Operating profit fell to EUR 15.1 mn from EUR 24.6 mn in 2006 ,input
"Finnish Bank of +Ã¯Â¿Â½land reports operating profit of EUR 2.2 mn in the first quarter of 2010 , down from EUR 6.3 mn in the corresponding period in 2009 ",input
"In sales volume , Coca-Cola 's market share has decreased by 2.2 % to 24.2 % ",input
Finnish waste management and cleaning group Lassila & Tikanoja Oyj ( L&T ) net profit went down to 32.2 mln euro ( $ 47.7 mln ) for 2007 from 35.3 mln euro ( $ 52.3 mln ) for 2006 ,input
Return on investment ROI was 4.1 % compared to 43.8 % in the first half of 2008 ,input
Cramo slipped to a pretax loss of EUR 6.7 million from a pretax profit of EUR 58.9 million ,input
Comparable operating profit decreased to EUR 13.8 mn from EUR 17.1 mn in the corresponding period in 2005 ,input
"Finnish shipping company Finnlines , of the Grimaldi Group , reports its net sales decreased to EUR 241.8 mn in January-June 2009 from EUR 384.0 mn in the corresponding period in 2008 ",input
Earnings per share ( EPS ) dropped to EUR 0.21 from EUR 0.31 ,input
"Net profit in the three months through March 31 fell to (  x20ac ) 103 million ( US$ 165 million ) from (  x20ac ) 131 million a year earlier , the Finnish company said ",input
11 August 2010 - Finnish measuring equipment maker Vaisala Oyj HEL : VAIAS said today that its net loss widened to EUR4 .8 m in the first half of 2010 from EUR2 .3 m in the corresponding period a year earlier ,input
"In the building and home improvement trade , sales decreased by 22.5 % to EUR 201.4 mn ",input
`` Capital expenditure on energy efficiency has unfortunately fallen along with the decline in the economy ,input
Diluted earnings per share ( EPS ) declined to EUR 0.78 from EUR 1.76 ,input
Reported operating margin was a negative 5.9 % ,input
Operating profit was EUR 1.6 mn in 2005 compared to EUR 5.9 mn in 2004 ,input
"The period 's sales dropped to EUR30 .6 m from EUR38 .3 m , according to the interim report , released today ",input
Operating profit in the fourth quarter fell to EUR33m from EUR39m a year earlier ,input
"( ADP News ) - Jan 22 , 2009 - Finnish mobile phones maker Nokia Oyj ( OMX : NOK1V ) said today its operating profit decreased to EUR 5 billion ( USD 6.5 bn ) for 2008 from EUR 8 billion for 2007 ",input
"A total of 16.5 mn passenger ship journeys took place in the northern Baltic Sea in 2007 , slightly down from 16.5 mn in 2006 ",input
The company said that sales in the three months to the end of March slid to EUR86 .4 m US$ 113.4 m from EUR91 .2 m last year ,input
Pharmaceuticals group Orion Corp reported a fall in its third-quarter earnings that were hit by larger expenditures on R&D and marketing ,input
Relations with the City have been further damaged by comments from Mr Ashley criticising City investors and analysts as `` cry babies '' ,input
"The period 's sales dropped to EUR 30.6 million from EUR 38.3 million , according to the interim report , released today ",input
"Operating profit totalled EUR 1.22 mn , down from EUR 3.56 mn in the first quarter of 2008 ",input
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 ,input
The company slipped to an operating loss of EUR 2.6 million from a profit of EUR 1.3 million ,input
"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates ",input
"At this growth rate , paying off the national debt will be extremely painful ",input
Stora Enso Oyj said its second-quarter result would fall by half compared with the same period in 2007 ,input
"Finnish Kemira 's net sales EUR decreased to EUR 1,259.6 mn in January-June 2009 from EUR 1,425.1 mn in January-June 2008 ",input
"Making matters more difficult , the company said it has been grappling with higher oil and gas prices , which have pushed up the cost of energy , raw materials and transportation ",input
Device volume in the area decreased by 21 % to 2.7 mn units ,input
"Last year , 8.3 million passengers flew the airline , down 4 percent from 2007 ",input
"Earlier today , Geberit 's Finnish rival Uponor OYJ cut its full-year sales growth forecast to 6 pct from 10 pct , blaming tough conditions in Germany and the US , as well as currency factors ",input
"ADPnews - Aug 3 , 2009 - Finnish media group Ilkka-Yhtyma Oyj HEL : ILK2S said today its net profit fell 45 % on the year to EUR 5.9 million USD 8.4 m in the first half of 2009 ",input
"At 1411 CET , ArcelorMittal had lost 7.26 % to EUR 17.38 on Euronext Paris , coming at the lead of the blue-chip fallers ",input
"External net sales from the printing business fell by 43.7 % , partly due to the termination of the printing contract between Ilkka-Yhtyma 's printing house I-print Oy and sector player HSS Media AB in December 2009 and the fall in printing prices ",input
"Sampo Bank 's market share of lending was 13.6 % , down from 14.4 % in the first quarter of 2008 ",input
"Therefore , the company 's 2005 result will remain weaker than that of 2004 ",input
"In the Baltic countries , sales fell by 42.6 % ",input
Operating loss amounted to EUR 0.7 mn compared to a profit of EUR 0.8 mn in the second quarter of 2005 ,input
"HELSINKI Thomson Financial - Shares in Cargotec fell sharply in early afternoon trade after the cargo handling group posted a surprise drop in April-June profits , which overshadowed the large number of new orders received during the three months ",input
"Cardona slowed her vehicle , turned around and returned to the intersection , where she called 911 ",input
Market data and analytics are derived from primary and secondary research ,input
Exel is headquartered in Mantyharju in Finland ,input
"Tampere Science Parks is a Finnish company that owns , leases and builds office properties and it specialises in facilities for technology-oriented businesses ",input
The Oxyview Pulse Oximeter is a common device to check patient blood-oxygen saturation level and pulse rate ,input
"Componenta has production lines for similar-sized products at Karkkila in Finland , at Weert in the Netherlands and at Orhangazi in Turkey , and these had a combined output of approximately 100,000 tonnes and net sales of EUR 135 million in 2007 ",input
Le Lay succeeds Walter G++nter and will be based in Finland ,input
"The total scope of the project is about 38,000 square metres and it is valued at a total of around EUR75m ",input
"The offer price is $ 35 million , including cash of $ 10 million as net debt assumption of FACE , and $ 20 million worth of Cencorp shares to be issued to Savcor ",input
The acquisition is expected to take place by the end of August 2007 ,input
"After the sale , Savcor Group Ltd will comprise Savcor ART , a corporate function and an investment in Cencorp Corporation ",input
"An  of the invention , released by the Patent Office , said : `` A non-coherent search matrix is formed of said correlation function matrix ",input
"Jensen , Njastein and Mike Critch , the head of Dovre North America business unit , will report to Toivola ",input
"As such , the space has blond wood floors ( unlike the rest of the store ) and a notably Scandinavian vibe ",input
